mini_batch_size,avg_squared_norm_gradients
1,4.948946429880862e-7
1,9.65133013572957e-7
1,1.428789960285215e-6
1,7.037656220494645e-7
1,2.7374780504167974e-7
1,4.951723651455354e-7
1,7.445580308509392e-7
1,5.828474017324226e-7
1,4.792864012291176e-7
1,5.690982872804303e-7
1,1.144735177359261e-6
1,6.374861891804547e-7
1,1.04651758099538e-6
1,1.1691699785594997e-6
1,8.283681683273869e-7
1,2.6512814833630215e-7
1,3.829051009107095e-7
1,6.014495765205889e-7
1,3.154413385528206e-7
1,8.762939675585576e-7
2,2.0232874812933232e-7
2,1.2684867593719673e-7
2,2.528592639760537e-7
2,1.8684666268988792e-7
2,2.2357910669299485e-7
2,1.820933760512844e-7
2,1.811859110926406e-7
2,2.8036129803711656e-7
2,2.6446789774278535e-7
2,2.678507379232068e-7
2,2.5746138867752676e-7
2,2.538355409506939e-7
2,2.1277279301443742e-7
2,3.534653374159073e-7
2,2.2387676310096082e-7
2,2.1826321873123314e-7
2,4.1862971025589484e-7
2,2.5219206156741334e-7
2,3.1129781502639747e-7
2,2.1430153807682946e-7
3,1.8175850165095633e-7
3,1.650524387232603e-7
3,1.731521151943601e-7
3,1.3633270273831024e-7
3,1.6461708194081363e-7
3,1.6243220905766502e-7
3,1.9226366889739665e-7
3,1.6020852924825134e-7
3,2.0589846681353664e-7
3,1.4944381385101716e-7
3,1.717560230493594e-7
3,1.4196507662731506e-7
3,1.1631393583103981e-7
3,1.6079933018554962e-7
3,2.632395393240709e-7
3,2.0623126787005692e-7
3,1.6786983220870392e-7
3,2.4495223051997544e-7
3,1.3900221259829001e-7
3,1.5110168801228953e-7
4,1.1201979178909009e-7
4,1.9535154780498942e-7
4,1.077444782685196e-7
4,1.045454352991489e-7
4,1.8303632766946503e-7
4,2.531080643151995e-7
4,1.3577862068056372e-7
4,1.2202330124502227e-7
4,1.223541620821796e-7
4,9.294930384603125e-8
4,1.5778152473586715e-7
4,8.524713012505459e-8
4,1.0850272406900766e-7
4,1.974363488010056e-7
4,1.784086255700146e-7
4,1.8250020473390786e-7
4,9.796164718605856e-8
4,1.1209786221873704e-7
4,1.3426696535117817e-7
4,1.128660941984568e-7
5,1.152653750779109e-7
5,1.0094663742255724e-7
5,1.341106532054918e-7
5,1.064073366225197e-7
5,1.3840300918879221e-7
5,1.554777075503703e-7
5,2.2016637669087422e-7
5,1.4262023376190313e-7
5,9.313325074771228e-8
5,1.0552376401993986e-7
5,8.441817745783453e-8
5,1.6043722284588094e-7
5,1.7904280342868618e-7
5,1.2039814999376118e-7
5,1.6212372182344837e-7
5,2.5690023567731167e-7
5,1.0022096033980669e-7
5,1.9605056339919714e-7
5,1.5235901154030766e-7
5,1.0982294127709717e-7
6,1.0125933547418715e-7
6,1.1073514844284205e-7
6,1.5382970793803946e-7
6,1.314372998843775e-7
6,1.185868304820777e-7
6,1.4097519354443478e-7
6,1.7660808469107298e-7
6,9.179790829646113e-8
6,8.447874362976412e-8
6,9.412398904338204e-8
6,9.041916977151251e-8
6,1.421359312812361e-7
6,9.576091082834637e-8
6,1.3376668416403465e-7
6,1.2845715756396222e-7
6,1.9753101982189493e-7
6,1.165459700240253e-7
6,9.092575085153005e-8
6,1.557908081342892e-7
6,1.4827747850757098e-7
7,1.1064391894469357e-7
7,1.1909683297339769e-7
7,9.500910987997694e-8
7,1.0227111375099204e-7
7,9.871983705262248e-8
7,9.282262691942359e-8
7,8.809410845612338e-8
7,1.5022834638808527e-7
7,1.0843014499333966e-7
7,9.406318569477415e-8
7,9.577110467790343e-8
7,8.842598108091218e-8
7,1.427390477540295e-7
7,1.1233235901867052e-7
7,7.529682927322294e-8
7,1.057541351607701e-7
7,8.083927749744646e-8
7,1.0170821159789512e-7
7,9.857116124744418e-8
7,1.3934614116332494e-7
8,9.853234853724284e-8
8,1.0714895631250461e-7
8,6.487372351765923e-8
8,9.122157543319057e-8
8,1.8875545025345276e-7
8,8.497743785333967e-8
8,9.479630532780447e-8
8,1.5324832609818392e-7
8,1.0198820862754588e-7
8,1.164405276261012e-7
8,1.0246753109051098e-7
8,8.630263081528255e-8
8,1.072234305280991e-7
8,8.282639938658557e-8
8,1.376413191689352e-7
8,1.0809925922513248e-7
8,7.00438656303722e-8
8,1.3477391550627733e-7
8,7.200210133693948e-8
8,6.731448727315126e-8
9,1.0061999959785814e-7
9,9.032162298770648e-8
9,6.614478582053588e-8
9,6.884414594985344e-8
9,1.1443559921862818e-7
9,8.165647923400835e-8
9,8.448253854460574e-8
9,7.089175938013171e-8
9,1.0544746247518333e-7
9,8.594974895572705e-8
9,1.2387194893091664e-7
9,9.952695793593592e-8
9,8.975383361224942e-8
9,9.346947341803969e-8
9,9.654114277246606e-8
9,9.767612201407872e-8
9,8.914379413234031e-8
9,6.954461310127632e-8
9,9.297401332659661e-8
9,9.240966591181159e-8
10,8.874484644524709e-8
10,7.697122971303353e-8
10,1.032528622751272e-7
10,1.0045773710937548e-7
10,6.402421911519222e-8
10,9.09943217449675e-8
10,8.385541335454623e-8
10,1.0010646343765472e-7
10,8.347374392900046e-8
10,9.581817868493658e-8
10,8.760981629987915e-8
10,1.024941853567422e-7
10,6.825905193939737e-8
10,6.994066490240888e-8
10,7.773635755737492e-8
10,7.013915204687749e-8
10,1.0521724012365988e-7
10,1.1311464794871995e-7
10,8.741351528615364e-8
10,7.500715061941794e-8
